"Geography","Persons"
"Division No. 10, Subd. D (SNO), Newfoundland and Labrador","674"
"Badger (T), Newfoundland and Labrador","701"
"Division No.  3, Subd. H (SNO), Newfoundland and Labrador","619"
"Embree (T), Newfoundland and Labrador","687"
"Cox's Cove (T), Newfoundland and Labrador","681"
"Conception Harbour (T), Newfoundland and Labrador","694"
"Division No.  6, Subd. C (SNO), Newfoundland and Labrador","653"
"Salmon Cove (T), Newfoundland and Labrador","685"
"Port Saunders (T), Newfoundland and Labrador","632"
"Heart's Delight-Islington (T), Newfoundland and Labrador","658"
"Norris Point (T), Newfoundland and Labrador","635"
"Dover (T), Newfoundland and Labrador","623"
"Norman's Cove-Long Cove (T), Newfoundland and Labrador","650"
"Isle aux Morts (T), Newfoundland and Labrador","611"
"King's Point (T), Newfoundland and Labrador","627"
"Division No.  1, Subd. A (SNO), Newfoundland and Labrador","659"
"Division No.  1, Subd. O (SNO), Newfoundland and Labrador","685"
"Colliers (T), Newfoundland and Labrador","653"
"South River (T), Newfoundland and Labrador","655"
"Avondale (T), Newfoundland and Labrador","650"
"Division No.  9, Subd. D (SNO), Newfoundland and Labrador","587"
"Old Perlican (T), Newfoundland and Labrador","631"
"Buchans (T), Newfoundland and Labrador","609"
"Lawn (T), Newfoundland and Labrador","580"
"Burnt Islands (T), Newfoundland and Labrador","597"
"Meadows (T), Newfoundland and Labrador","507"
"St. Lunaire-Griquet (T), Newfoundland and Labrador","585"
"Cormack (T), Newfoundland and Labrador","594"
"Point Leamington (T), Newfoundland and Labrador","566"
"St. Jacques-Coomb's Cove (T), Newfoundland and Labrador","589"
"Hopedale (T), Newfoundland and Labrador","618"
"Appleton (T), Newfoundland and Labrador","614"
"Port au Port East (T), Newfoundland and Labrador","557"
"North River (T), Newfoundland and Labrador","550"
"Garnish (T), Newfoundland and Labrador","522"
"Division No.  2, Subd. C (SNO), Newfoundland and Labrador","607"
"Musgravetown (T), Newfoundland and Labrador","545"
"Division No.  6, Subd. D (SNO), Newfoundland and Labrador","557"
"L'Anse au Loup (T), Newfoundland and Labrador","574"
"Division No.  2, Subd. K (SNO), Newfoundland and Labrador","525"
"Trout River (T), Newfoundland and Labrador","529"
"Birchy Bay (T), Newfoundland and Labrador","543"
"North West River (T), Newfoundland and Labrador","557"
"Division No.  1, Subd. F (SNO), Newfoundland and Labrador","535"
"Lewin's Cove (T), Newfoundland and Labrador","465"
"Division No.  8, Subd. E (SNO), Newfoundland and Labrador","456"
"McIvers (T), Newfoundland and Labrador","536"
"Englee (T), Newfoundland and Labrador","490"
"Lark Harbour (T), Newfoundland and Labrador","534"
"Division No.  1, Subd. X (SNO), Newfoundland and Labrador","513"
"Reidville (T), Newfoundland and Labrador","545"
"Lumsden (T), Newfoundland and Labrador","492"
"Eastport (T), Newfoundland and Labrador","447"
"Cape Broyle (T), Newfoundland and Labrador","494"
"Port Blandford (T), Newfoundland and Labrador","467"
"Terrenceville (T), Newfoundland and Labrador","461"
"South Brook (T), Newfoundland and Labrador","478"
"Trepassey (T), Newfoundland and Labrador","484"
"Middle Arm (T), Newfoundland and Labrador","475"
"Division No.  5, Subd. G (SNO), Newfoundland and Labrador","452"
"Bauline (T), Newfoundland and Labrador","444"
"Lourdes (T), Newfoundland and Labrador","525"
"Division No.  7, Subd. J (SNO), Newfoundland and Labrador","449"
"Chapel Arm (T), Newfoundland and Labrador","463"
"Winterton (T), Newfoundland and Labrador","426"
"Campbellton (T), Newfoundland and Labrador","430"
"Port au Port West-Aguathuna-Felix Cove (T), Newfoundland and Labrador","395"
"Steady Brook (T), Newfoundland and Labrador","442"
"Ramea (T), Newfoundland and Labrador","402"
"Division No.  8, Subd. C (SNO), Newfoundland and Labrador","402"
"Division No.  1, Subd. W (SNO), Newfoundland and Labrador","400"
"Hampden (T), Newfoundland and Labrador","443"
"St. Bernard's-Jacques Fontaine (T), Newfoundland and Labrador","410"
"Division No.  8, Subd. G (SNO), Newfoundland and Labrador","434"
"Cartwright, Labrador (T), Newfoundland and Labrador","407"
"Northern Arm (T), Newfoundland and Labrador","423"
"Cow Head (T), Newfoundland and Labrador","408"
"Hermitage-Sandyville (T), Newfoundland and Labrador","395"
"Port Hope Simpson (T), Newfoundland and Labrador","416"
"Ferryland (T), Newfoundland and Labrador","418"
"Gillams (T), Newfoundland and Labrador","408"
"Forteau (T), Newfoundland and Labrador","393"
"Comfort Cove-Newstead (T), Newfoundland and Labrador","379"
"Bryant's Cove (T), Newfoundland and Labrador","402"
"Sunnyside (T), Newfoundland and Labrador","445"
"Winterland (T), Newfoundland and Labrador","393"
"Rose Blanche-Harbour le Cou (T), Newfoundland and Labrador","350"
"Southern Harbour (T), Newfoundland and Labrador","360"
"Bay de Verde (T), Newfoundland and Labrador","395"
"Division No.  1, Subd. H (SNO), Newfoundland and Labrador","394"
"Small Point-Adam's Cove-Blackhead-Broad Cove (T), Newfoundland and Labrador","392"
"Makkovik (T), Newfoundland and Labrador","418"
"Whiteway (T), Newfoundland and Labrador","354"
"Division No.  1, Subd. N (SNO), Newfoundland and Labrador","343"
"Belleoram (T), Newfoundland and Labrador","369"
"Division No. 10, Subd. B (SNO), Newfoundland and Labrador","369"
