"Geography","Persons"
"Saint-Prime (MÉ), Quebec","2,757"
"Sainte-Marguerite-du-Lac-Masson (V), Quebec","3,209"
"Sainte-Anne-de-Sorel (MÉ), Quebec","2,802"
"Macamic (V), Quebec","2,723"
"Lac-des-Écorces (MÉ), Quebec","2,813"
"Ange-Gardien (MÉ), Quebec","2,870"
"Ferme-Neuve (MÉ), Quebec","2,723"
"Bonaventure (V), Quebec","2,712"
"Plessisville (PE), Quebec","2,645"
"Weedon (MÉ), Quebec","2,635"
"Saint-Chrysostome (MÉ), Quebec","2,688"
"Saint-Gabriel (V), Quebec","2,698"
"Saint-Basile (V), Quebec","2,701"
"Saint-Mathieu-de-Beloeil (MÉ), Quebec","2,710"
"Saint-Anicet (MÉ), Quebec","2,727"
"Saint-Gabriel-de-Brandon (MÉ), Quebec","2,677"
"Saint-Isidore (PE), Quebec","2,781"
"Maria (MÉ), Quebec","2,647"
"Lacolle (MÉ), Quebec","2,731"
"Ville-Marie (V), Quebec","2,478"
"Laurier-Station (VL), Quebec","2,606"
"Pohénégamook (V), Quebec","2,474"
"Saint-Dominique (MÉ), Quebec","2,677"
"Bedford (V), Quebec","2,582"
"La Présentation (MÉ), Quebec","2,569"
"Wickham (MÉ), Quebec","2,641"
"Hébertville (MÉ), Quebec","2,568"
"Saint-Gilles (PE), Quebec","2,716"
"Sainte-Croix (MÉ), Quebec","2,550"
"Saint-Alexandre (MÉ), Quebec","2,611"
"Saint-Martin (PE), Quebec","2,551"
"Labelle (MÉ), Quebec","2,483"
"Fermont (V), Quebec","2,440"
"Saint-Damase (MÉ), Quebec","2,566"
"Sainte-Catherine-de-Hatley (MÉ), Quebec","2,642"
"Sainte-Thècle (MÉ), Quebec","2,450"
"Sainte-Victoire-de-Sorel (MÉ), Quebec","2,512"
"Cap-Chat (V), Quebec","2,342"
"Gracefield (V), Quebec","2,512"
"Saint-Victor (MÉ), Quebec","2,439"
"Huntingdon (V), Quebec","2,543"
"Témiscaming (V), Quebec","2,342"
"Saint-Charles-de-Bellechasse (MÉ), Quebec","2,575"
"Saint-Elzéar (MÉ), Quebec","2,595"
"Saint-Éphrem-de-Beauce (MÉ), Quebec","2,416"
"Saint-Pamphile (V), Quebec","2,337"
"Saint-Raphaël (MÉ), Quebec","2,356"
"Akwesasne (IRI), Quebec","2,387"
"Scott (MÉ), Quebec","2,595"
"Saint-Michel-des-Saints (MÉ), Quebec","2,415"
"Saint-Bernard (MÉ), Quebec","2,574"
"Disraeli (V), Quebec","2,381"
"Léry (V), Quebec","2,360"
"Saint-Léonard-d'Aston (MÉ), Quebec","2,476"
"Maskinongé (MÉ), Quebec","2,333"
"Saint-Denis-sur-Richelieu (MÉ), Quebec","2,383"
"Causapscal (V), Quebec","2,259"
"Brigham (MÉ), Quebec","2,326"
"Mansfield-et-Pontefract (MÉ), Quebec","2,369"
"Saint-François-Xavier-de-Brompton (MÉ), Quebec","2,439"
"Albanel (MÉ), Quebec","2,252"
"Sainte-Geneviève-de-Berthier (MÉ), Quebec","2,340"
"Sainte-Madeleine (VL), Quebec","2,296"
"Pessamit (IRI), Quebec","2,354"
"Saint-Polycarpe (MÉ), Quebec","2,468"
"Lebel-sur-Quévillon (V), Quebec","2,094"
"Deschambault-Grondines (MÉ), Quebec","2,252"
"Waskaganish (TC), Quebec","2,325"
"Saint-Gédéon-de-Beauce (MÉ), Quebec","2,176"
"Port-Daniel--Gascons (MÉ), Quebec","2,240"
"East Broughton (MÉ), Quebec","2,227"
"Saint-Côme (PE), Quebec","2,378"
"Saint-Roch-de-Richelieu (MÉ), Quebec","2,378"
"Mandeville (MÉ), Quebec","2,278"
"Saint-Marc-sur-Richelieu (MÉ), Quebec","2,249"
"Saint-Mathieu (MÉ), Quebec","2,328"
"Sainte-Cécile-de-Milton (MÉ), Quebec","2,236"
"Valcourt (V), Quebec","2,169"
"Saint-Gervais (MÉ), Quebec","2,156"
"Wendake (IRI), Quebec","2,242"
"Pierreville (MÉ), Quebec","2,142"
"Nominingue (MÉ), Quebec","2,112"
"Waterville (V), Quebec","2,267"
"Rivière-Beaudette (MÉ), Quebec","2,465"
"Hinchinbrooke (MÉ), Quebec","2,179"
"Hatley (CT), Quebec","2,264"
"Saint-Alexandre-de-Kamouraska (MÉ), Quebec","2,255"
"Upton (MÉ), Quebec","2,235"
"Saint-Damien (PE), Quebec","2,187"
"Saint-Gédéon (MÉ), Quebec","2,203"
"Papineauville (MÉ), Quebec","2,173"
"Saint-Blaise-sur-Richelieu (MÉ), Quebec","2,100"
"Saint-Nazaire (MÉ), Quebec","2,062"
"Saint-Ferdinand (MÉ), Quebec","2,090"
"Saint-Fulgence (MÉ), Quebec","2,125"
"Manawan (IRI), Quebec","2,160"
"Sainte-Anne-de-Sabrevois (PE), Quebec","2,150"
"Saint-Ignace-de-Loyola (MÉ), Quebec","2,092"
"Saint-Pierre-de-l'Île-d'Orléans (MÉ), Quebec","2,036"
"Caplan (MÉ), Quebec","2,016"
"Sainte-Anne-de-la-Pérade (MÉ), Quebec","2,076"
"Obedjiwan (IRI), Quebec","2,102"
"L'Ascension-de-Notre-Seigneur (PE), Quebec","2,028"
"Terrasse-Vaudreuil (MÉ), Quebec","1,986"
"Saint-Patrice-de-Sherrington (MÉ), Quebec","2,244"
"Saint-Paul-de-l'Île-aux-Noix (MÉ), Quebec","2,165"
"Saint-Esprit (MÉ), Quebec","2,035"
"Sainte-Béatrix (MÉ), Quebec","2,196"
"Saint-François-du-Lac (MÉ), Quebec","1,956"
"Barraute (MÉ), Quebec","2,008"
"Fossambault-sur-le-Lac (V), Quebec","2,214"
"Saint-Cyprien-de-Napierville (MÉ), Quebec","2,054"
"Mashteuiatsh (IRI), Quebec","2,039"
"Saint-Liguori (PE), Quebec","2,039"
"Kingsey Falls (V), Quebec","1,928"
"Saint-Damien-de-Buckland (PE), Quebec","1,869"
"Saint-Barthélemy (PE), Quebec","2,062"
"Pointe-Lebel (VL), Quebec","1,867"
"Hemmingford (CT), Quebec","2,002"
"Gore (CT), Quebec","2,073"
"Lac-Supérieur (MÉ), Quebec","1,945"
"Les Escoumins (MÉ), Quebec","1,845"
"Vallée-Jonction (MÉ), Quebec","1,869"
"Saint-Cuthbert (MÉ), Quebec","1,835"
"Potton (CT), Quebec","1,886"
"Eastman (MÉ), Quebec","2,156"
"Déléage (MÉ), Quebec","1,873"
"Saint-Élie-de-Caxton (MÉ), Quebec","1,882"
"Saint-Fabien (PE), Quebec","1,776"
"Sayabec (MÉ), Quebec","1,744"
"Saint-Narcisse (PE), Quebec","1,839"
"Sainte-Angèle-de-Monnoir (MÉ), Quebec","1,778"
"Sainte-Justine (MÉ), Quebec","1,808"
"Saint-Michel-de-Bellechasse (MÉ), Quebec","1,808"
"Saint-Robert (MÉ), Quebec","1,796"
"Sacré-Coeur (MÉ), Quebec","1,765"
"Cacouna (MÉ), Quebec","1,862"
"Saint-Valérien-de-Milton (MÉ), Quebec","1,787"
"Puvirnituq (VN), Quebec","1,940"
"Saint-Clet (MÉ), Quebec","1,823"
"Inukjuak (VN), Quebec","1,918"
"Waswanipi (TC), Quebec","1,812"
"Price (VL), Quebec","1,753"
"Chambord (MÉ), Quebec","1,768"
"Saint-Joseph-de-Coleraine (MÉ), Quebec","1,731"
"Champlain (MÉ), Quebec","1,897"
"Frontenac (MÉ), Quebec","1,761"
"Dudswell (MÉ), Quebec","1,826"
"Saint-Charles-sur-Richelieu (MÉ), Quebec","1,787"
"Saint-Jacques-le-Mineur (MÉ), Quebec","2,021"
"Grenville (VL), Quebec","1,789"
"La Guadeloupe (VL), Quebec","1,781"
"Saint-Antoine-sur-Richelieu (MÉ), Quebec","1,759"
"Saint-Placide (MÉ), Quebec","1,748"
"Sainte-Hélène-de-Bagot (MÉ), Quebec","1,675"
"Yamaska (MÉ), Quebec","1,741"
"Nouvelle (MÉ), Quebec","1,683"
"Saint-Ours (V), Quebec","1,715"
"Saint-Lucien (MÉ), Quebec","1,775"
"Saint-Stanislas-de-Kostka (MÉ), Quebec","1,771"
"Saint-Zacharie (MÉ), Quebec","1,677"
"Sainte-Clotilde (MÉ), Quebec","2,344"
"Venise-en-Québec (MÉ), Quebec","1,839"
"Saint-Joseph-de-Sorel (V), Quebec","1,627"
"Franklin (MÉ), Quebec","1,671"
"Sainte-Perpétue (MÉ), Quebec","1,627"
"Saint-Benoît-Labre (MÉ), Quebec","1,619"
"Sainte-Anne-de-la-Pocatière (PE), Quebec","1,601"
"Val-Joli (MÉ), Quebec","1,687"
"Kanesatake (S-É), Quebec","1,778"
"Saint-François-de-la-Rivière-du-Sud (MÉ), Quebec","1,644"
"Saint-Flavien (MÉ), Quebec","1,615"
"Lambton (MÉ), Quebec","1,632"
"Messines (MÉ), Quebec","1,649"
"Lyster (MÉ), Quebec","1,598"
"Saint-Albert (MÉ), Quebec","1,705"
"Notre-Dame-des-Pins (PE), Quebec","1,762"
"Sainte-Marcelline-de-Kildare (MÉ), Quebec","1,743"
"Saint-Jean-de-Dieu (MÉ), Quebec","1,647"
"Saint-Pacôme (MÉ), Quebec","1,560"
"Saint-Antoine-de-Tilly (MÉ), Quebec","1,656"
"Uashat (IRI), Quebec","1,654"
"Shawville (MÉ), Quebec","1,558"
"Saint-Ulric (MÉ), Quebec","1,527"
"Sainte-Clotilde-de-Horton (MÉ), Quebec","1,615"
"Saint-Laurent-de-l'Île-d'Orléans (MÉ), Quebec","1,705"
"Sainte-Émélie-de-l'Énergie (MÉ), Quebec","1,704"
"Saint-Bernard-de-Lacolle (PE), Quebec","1,606"
"Chapais (V), Quebec","1,554"
"Chute-aux-Outardes (VL), Quebec","1,446"
"Berthier-sur-Mer (MÉ), Quebec","1,716"
"Mille-Isles (MÉ), Quebec","1,697"
"Notre-Dame-du-Laus (MÉ), Quebec","1,601"
"Notre-Dame-du-Bon-Conseil (VL), Quebec","1,643"
"Cleveland (CT), Quebec","1,553"
"Ripon (MÉ), Quebec","1,684"
"Maliotenam (IRI), Quebec","1,540"
"Saint-Théodore-d'Acton (MÉ), Quebec","1,566"
"Saint-Malachie (PE), Quebec","1,562"
"Saint-Honoré-de-Shenley (MÉ), Quebec","1,522"
"Listuguj (IRI), Quebec","1,536"
"Pointe-des-Cascades (VL), Quebec","1,756"
"Saint-Paulin (MÉ), Quebec","1,544"
"Salluit (VN), Quebec","1,687"
"Larouche (MÉ), Quebec","1,645"
"Saint-Louis-de-Gonzague (PE), Quebec","1,732"
"Amherst (CT), Quebec","1,514"
"Armagh (MÉ), Quebec","1,467"
"Austin (MÉ), Quebec","1,579"
"Saint-Tite-des-Caps (MÉ), Quebec","1,441"
"Saint-Guillaume (MÉ), Quebec","1,483"
"Saint-Aubert (MÉ), Quebec","1,468"
"Sainte-Élisabeth (MÉ), Quebec","1,465"
"Matagami (V), Quebec","1,376"
"Wemindji (TC), Quebec","1,540"
"Lac-au-Saumon (MÉ), Quebec","1,402"
"Saint-Joachim (PE), Quebec","1,425"
"Saint-Félix-de-Kingsey (MÉ), Quebec","1,502"
"Rivière-Héva (MÉ), Quebec","1,503"
"Saint-Casimir (MÉ), Quebec","1,436"
"Fort-Coulonge (VL), Quebec","1,359"
"Wotton (MÉ), Quebec","1,422"
"Saint-Simon (MÉ), Quebec","1,437"
"Tingwick (MÉ), Quebec","1,429"
"Sainte-Brigide-d'Iberville (MÉ), Quebec","1,438"
"Henryville (MÉ), Quebec","1,475"
"Saint-Ubalde (MÉ), Quebec","1,416"
"Tring-Jonction (VL), Quebec","1,430"
"Godmanchester (CT), Quebec","1,446"
"Palmarolle (MÉ), Quebec","1,388"
"Pointe-à-la-Croix (MÉ), Quebec","1,369"
"Noyan (MÉ), Quebec","1,491"
"Saint-Majorique-de-Grantham (PE), Quebec","1,405"
"New Carlisle (MÉ), Quebec","1,408"
"Lac-Simon (IRI), Quebec","1,510"
"Nantes (MÉ), Quebec","1,436"
"Wentworth-Nord (MÉ), Quebec","1,508"
"Saint-Odilon-de-Cranbourne (PE), Quebec","1,390"
"Saint-Urbain (PE), Quebec","1,358"
"La Doré (PE), Quebec","1,379"
"Laurierville (MÉ), Quebec","1,340"
"La Conception (MÉ), Quebec","1,432"
"Ragueneau (PE), Quebec","1,295"
"Saint-Édouard (MÉ), Quebec","1,347"
"Saint-Mathieu-du-Parc (MÉ), Quebec","1,379"
"Vaudreuil-sur-le-Lac (VL), Quebec","1,368"
"Saint-Hugues (MÉ), Quebec","1,350"
"Pointe-aux-Outardes (VL), Quebec","1,297"
"Les Éboulements (MÉ), Quebec","1,381"
"Sainte-Barbe (MÉ), Quebec","1,459"
"Sainte-Ursule (PE), Quebec","1,311"
"L'Isle-aux-Allumettes (MÉ), Quebec","1,322"
"Racine (MÉ), Quebec","1,396"
"Labrecque (MÉ), Quebec","1,347"
"Saint-Alexis (MÉ), Quebec","1,390"
"Hébertville-Station (VL), Quebec","1,313"
"L'Avenir (MÉ), Quebec","1,389"
"Saint-Joachim-de-Shefford (MÉ), Quebec","1,386"
"Roxton Falls (VL), Quebec","1,340"
"Frampton (MÉ), Quebec","1,315"
"Saint-Lazare-de-Bellechasse (MÉ), Quebec","1,346"
"L'Isle-Verte (MÉ), Quebec","1,314"
"Saint-Louis-du-Ha! Ha! (PE), Quebec","1,239"
"Lac-aux-Sables (PE), Quebec","1,298"
"Sainte-Anne-du-Sault (MÉ), Quebec","1,352"
"Hérouxville (PE), Quebec","1,337"
"Saint-Hubert-de-Rivière-du-Loup (MÉ), Quebec","1,346"
"Sainte-Hénédine (PE), Quebec","1,392"
"Saint-Urbain-Premier (MÉ), Quebec","1,312"
"Saint-Valère (MÉ), Quebec","1,249"
"Sainte-Lucie-des-Laurentides (MÉ), Quebec","1,385"
"Lorrainville (MÉ), Quebec","1,222"
"Clarendon (MÉ), Quebec","1,239"
"Saint-Arsène (PE), Quebec","1,273"
"Saint-Jude (MÉ), Quebec","1,524"
"Rivière-Bleue (MÉ), Quebec","1,215"
"Saint-Siméon (MÉ), Quebec","1,131"
"Trécesson (CT), Quebec","1,241"
"Kitigan Zibi (IRI), Quebec","1,218"
"Wemotaci (IRI), Quebec","1,299"
"Sainte-Marie-Salomé (PE), Quebec","1,201"
"La Minerve (MÉ), Quebec","1,298"
"Saint-Édouard-de-Lotbinière (PE), Quebec","1,218"
"Saint-Armand (MÉ), Quebec","1,232"
"Saint-Alban (MÉ), Quebec","1,190"
"Saint-Barnabé (PE), Quebec","1,190"
"L'Anse-Saint-Jean (MÉ), Quebec","1,234"
"Senneterre (PE), Quebec","1,153"
"Lac-Bouchette (MÉ), Quebec","1,172"
"Très-Saint-Sacrement (PE), Quebec","1,239"
"Saint-Claude (MÉ), Quebec","1,184"
"Bury (MÉ), Quebec","1,162"
"Saint-Siméon (PE), Quebec","1,193"
"Saint-Modeste (MÉ), Quebec","1,166"
"Sainte-Agathe-de-Lotbinière (MÉ), Quebec","1,150"
"Saint-Gabriel-de-Rimouski (MÉ), Quebec","1,160"
"Saint-Norbert-d'Arthabaska (MÉ), Quebec","1,216"
"Saints-Anges (PE), Quebec","1,162"
"Saint-Wenceslas (MÉ), Quebec","1,147"
"Grand-Remous (MÉ), Quebec","1,157"
"La Macaza (MÉ), Quebec","1,110"
"Saint-Bruno-de-Guigues (MÉ), Quebec","1,124"
"Notre-Dame-du-Portage (MÉ), Quebec","1,192"
"L'Isle-aux-Coudres (MÉ), Quebec","1,087"
"Saint-Hilarion (PE), Quebec","1,131"
"Saint-Maxime-du-Mont-Louis (MÉ), Quebec","1,085"
"Saint-Léon-de-Standon (PE), Quebec","1,089"
"Mont-Carmel (MÉ), Quebec","1,141"
"Saint-Eugène (MÉ), Quebec","1,143"
"Saint-Pierre-les-Becquets (MÉ), Quebec","1,116"
"Disraeli (PE), Quebec","1,142"
"Blanc-Sablon (MÉ), Quebec","1,088"
"Saint-Léonard-de-Portneuf (MÉ), Quebec","1,124"
"Saint-Zénon (MÉ), Quebec","1,175"
"Frelighsburg (MÉ), Quebec","1,179"
"Saint-Georges-de-Clarenceville (MÉ), Quebec","1,194"
"Saint-Michel-du-Squatec (MÉ), Quebec","1,044"
"Saint-Narcisse-de-Beaurivage (PE), Quebec","1,127"
"Sainte-Marthe (MÉ), Quebec","1,052"
"Eeyou Istchee Baie-James (MÉ), Quebec","1,046"
"Saint-Aimé-des-Lacs (MÉ), Quebec","1,103"
"Plaisance (MÉ), Quebec","1,140"
"Sainte-Sabine (MÉ), Quebec","1,096"
"Sainte-Félicité (MÉ), Quebec","1,106"
"Saint-Jean-de-l'Île-d'Orléans (MÉ), Quebec","1,166"
"Roxton (CT), Quebec","1,113"
"Sainte-Marguerite (PE), Quebec","1,178"
"Notre-Dame-des-Neiges (MÉ), Quebec","1,051"
"Ayer's Cliff (VL), Quebec","1,161"
"Saint-Ludger (MÉ), Quebec","1,050"
"Saint-Cyprien (MÉ), Quebec","1,070"
"Melbourne (CT), Quebec","1,088"
"Saint-Vallier (MÉ), Quebec","1,084"
"Stukely-Sud (VL), Quebec","1,189"
"Sainte-Pétronille (VL), Quebec","1,071"
"Grande-Vallée (MÉ), Quebec","1,062"
"Sainte-Jeanne-d'Arc (VL), Quebec","1,059"
"Notre-Dame-du-Nord (MÉ), Quebec","1,012"
"Saint-Frédéric (PE), Quebec","1,083"
"Valcourt (CT), Quebec","1,047"
"Saint-Patrice-de-Beaurivage (MÉ), Quebec","1,054"
"Durham-Sud (MÉ), Quebec","1,074"
"Saint-Bonaventure (MÉ), Quebec","1,045"
"Stanstead (CT), Quebec","970"
"Bristol (MÉ), Quebec","1,037"
"Desbiens (V), Quebec","1,003"
"Longue-Rive (MÉ), Quebec","961"
"Lac-Drolet (MÉ), Quebec","1,062"
"Saint-Louis-de-Blandford (MÉ), Quebec","1,136"
"Sainte-Thérèse-de-Gaspé (MÉ), Quebec","1,005"
"Saint-Sylvestre (MÉ), Quebec","1,026"
"Westbury (CT), Quebec","1,068"
"Saint-Stanislas (MÉ), Quebec","994"
"Saint-Norbert (PE), Quebec","1,046"
"Sainte-Geneviève-de-Batiscan (PE), Quebec","1,012"
"Girardville (MÉ), Quebec","990"
"Whapmagoostui (TC), Quebec","1,063"
"Saint-René-de-Matane (MÉ), Quebec","941"
"Saint-Janvier-de-Joly (MÉ), Quebec","1,071"
"Baie-du-Febvre (MÉ), Quebec","973"
"Saint-Benjamin (MÉ), Quebec","1,039"
"Montebello (MÉ), Quebec","991"
"Les Méchins (MÉ), Quebec","959"
"Low (CT), Quebec","1,026"
"Montpellier (MÉ), Quebec","1,061"
"Sainte-Germaine-Boulé (MÉ), Quebec","973"
"Brébeuf (PE), Quebec","1,052"
"La Romaine (IRI), Quebec","995"
"Rivière-Ouelle (MÉ), Quebec","953"
"Saint-Justin (MÉ), Quebec","970"
"Daveluyville (V), Quebec","1,019"
"Saint-Georges-de-Windsor (MÉ), Quebec","959"
"Taschereau (MÉ), Quebec","919"
"Saint-Narcisse-de-Rimouski (PE), Quebec","1,049"
"Landrienne (CT), Quebec","901"
"Sainte-Perpétue (PE), Quebec","984"
"Saint-Félix-d'Otis (MÉ), Quebec","1,036"
"Sainte-Famille (PE), Quebec","957"
"Notre-Dame-du-Bon-Conseil (PE), Quebec","1,014"
"Charette (MÉ), Quebec","989"
"Sainte-Angèle-de-Mérici (MÉ), Quebec","956"
"Kangiqsualujjuaq (VN), Quebec","1,055"
"Dosquet (MÉ), Quebec","974"
"Saint-Fabien-de-Panet (PE), Quebec","902"
"Lac-Simon (MÉ), Quebec","1,001"
"Kazabazua (MÉ), Quebec","972"
"Stratford (CT), Quebec","942"
"Saint-Léon-le-Grand (PE), Quebec","955"
"Bolton-Est (MÉ), Quebec","1,044"
"Chute-Saint-Philippe (MÉ), Quebec","981"
"Saint-Félix-de-Dalquier (MÉ), Quebec","949"
"Notre-Dame-des-Bois (MÉ), Quebec","1,001"
"Dupuy (MÉ), Quebec","904"
"Sainte-Justine-de-Newton (MÉ), Quebec","964"
"Saint-Léon-le-Grand (PE), Quebec","925"
"Otter Lake (MÉ), Quebec","931"
"Entrelacs (MÉ), Quebec","966"
"Saint-Adelphe (PE), Quebec","959"
"Val-Alain (MÉ), Quebec","974"
"Chesterville (MÉ), Quebec","920"
"Senneville (VL), Quebec","977"
"Val-Brillant (MÉ), Quebec","916"
"Sainte-Hélène-de-Kamouraska (MÉ), Quebec","900"
"Saint-Roch-des-Aulnaies (PE), Quebec","964"
"Saint-Pierre-de-la-Rivière-du-Sud (PE), Quebec","913"
"Lefebvre (MÉ), Quebec","940"
"Notre-Dame-de-la-Merci (MÉ), Quebec","975"
"Très-Saint-Rédempteur (MÉ), Quebec","1,002"
"Beaulac-Garthby (MÉ), Quebec","995"
"Deschaillons-sur-Saint-Laurent (MÉ), Quebec","878"
"Inverness (MÉ), Quebec","904"
"Batiscan (MÉ), Quebec","915"
"Saint-Pierre-de-Broughton (MÉ), Quebec","895"
"Sainte-Eulalie (MÉ), Quebec","973"
"Saint-Nazaire-d'Acton (PE), Quebec","879"
"Sainte-Flavie (PE), Quebec","869"
"Irlande (MÉ), Quebec","891"
"Saint-Donat (PE), Quebec","846"
"Duhamel-Ouest (MÉ), Quebec","886"
"Eastmain (TC), Quebec","949"
"Huberdeau (MÉ), Quebec","888"
"Ham-Nord (CT), Quebec","881"
"Saint-Barnabé-Sud (MÉ), Quebec","858"
"Notre-Dame-du-Sacré-Coeur-d'Issoudun (PE), Quebec","880"
"Stanbridge East (MÉ), Quebec","857"
"Sainte-Cécile-de-Whitton (MÉ), Quebec","851"
"Lochaber-Partie-Ouest (CT), Quebec","878"
"Val-des-Bois (MÉ), Quebec","862"
"Honfleur (MÉ), Quebec","908"
"Sainte-Hedwidge (MÉ), Quebec","876"
"Côte-Nord-du-Golfe-du-Saint-Laurent (MÉ), Quebec","794"
"Saint-Rosaire (PE), Quebec","886"
"Sainte-Monique (MÉ), Quebec","870"
"Sainte-Aurélie (MÉ), Quebec","859"
"Saint-Séverin (PE), Quebec","843"
"Harrington (CT), Quebec","862"
"Lantier (MÉ), Quebec","890"
"Saint-Valérien (PE), Quebec","840"
"Preissac (MÉ), Quebec","927"
"Saint-Étienne-de-Beauharnois (MÉ), Quebec","1,012"
"Saint-Marc-de-Figuery (PE), Quebec","898"
"Natashquan (IRI), Quebec","869"
"Saint-Célestin (VL), Quebec","885"
"Saint-Épiphane (MÉ), Quebec","845"
"Saint-Philippe-de-Néri (PE), Quebec","806"
"Courcelles (MÉ), Quebec","784"
"Saint-Henri-de-Taillon (MÉ), Quebec","882"
"Saint-David (MÉ), Quebec","864"
"Cayamant (MÉ), Quebec","840"
"Bégin (MÉ), Quebec","837"
"Manseau (MÉ), Quebec","809"
"Petite-Rivière-Saint-François (MÉ), Quebec","863"
"Lotbinière (MÉ), Quebec","804"
"Normétal (MÉ), Quebec","776"
"Tadoussac (VL), Quebec","793"
"Notre-Dame-des-Monts (MÉ), Quebec","804"
"Howick (MÉ), Quebec","827"
"Saint-Aimé-du-Lac-des-Îles (MÉ), Quebec","779"
"L'Ascension (MÉ), Quebec","843"
"Sainte-Gertrude-Manneville (MÉ), Quebec","789"
"Saint-Sylvère (MÉ), Quebec","777"
"Notre-Dame-de-Pontmain (MÉ), Quebec","784"
"Saint-Paul-de-Montminy (MÉ), Quebec","784"
"Nemaska (TC), Quebec","824"
"La Patrie (MÉ), Quebec","789"
"Notre-Dame-Auxiliatrice-de-Buckland (PE), Quebec","755"
"Saint-Télesphore (MÉ), Quebec","787"
"Hemmingford (VL), Quebec","795"
"Saint-Edmond-de-Grantham (PE), Quebec","769"
"Chénéville (MÉ), Quebec","787"
"Kangiqsujuaq (VN), Quebec","861"
"Kiamika (MÉ), Quebec","794"
"La Durantaye (PE), Quebec","796"
"Aumond (CT), Quebec","758"
"Saint-Camille-de-Lellis (PE), Quebec","715"
"Val-des-Lacs (MÉ), Quebec","744"
"Saint-Samuel (MÉ), Quebec","776"
"Saint-René (PE), Quebec","831"
"Oujé-Bougoumou (S-É), Quebec","798"
"Notre-Dame-de-Montauban (MÉ), Quebec","768"
"Campbell's Bay (MÉ), Quebec","724"
"Saint-Mathieu-d'Harricana (MÉ), Quebec","779"
"Saint-Nérée-de-Bellechasse (MÉ), Quebec","741"
"Havelock (CT), Quebec","797"
"Saint-Honoré-de-Témiscouata (MÉ), Quebec","740"
"Ogden (MÉ), Quebec","742"
"Saint-Charles-de-Bourget (MÉ), Quebec","801"
"Audet (MÉ), Quebec","767"
"Newport (MÉ), Quebec","747"
"Notre-Dame-de-la-Salette (MÉ), Quebec","818"
"Sainte-Rose-de-Watford (MÉ), Quebec","750"
"Sainte-Christine (PE), Quebec","734"
"Cascapédia--Saint-Jules (MÉ), Quebec","745"
"Bouchette (MÉ), Quebec","676"
"Sainte-Brigitte-des-Saults (PE), Quebec","766"
"Sainte-Sophie-de-Lévrard (PE), Quebec","707"
"La Corne (MÉ), Quebec","757"
"Béarn (MÉ), Quebec","706"
"Saint-Louis (MÉ), Quebec","721"
"Saint-Sébastien (MÉ), Quebec","724"
"Saint-Cyrille-de-Lessard (PE), Quebec","732"
"Saint-Philémon (PE), Quebec","705"
"Saint-Gabriel-Lalemant (MÉ), Quebec","689"
"Saint-Théophile (MÉ), Quebec","696"
"Saint-Édouard-de-Maskinongé (MÉ), Quebec","713"
"Saint-Alphonse (MÉ), Quebec","703"
"Marston (CT), Quebec","729"
"Saint-Zéphirin-de-Courval (PE), Quebec","697"
"Dixville (MÉ), Quebec","708"
"Bryson (MÉ), Quebec","690"
"Saint-Augustin-de-Woburn (PE), Quebec","682"
"Notre-Dame-de-Lourdes (PE), Quebec","757"
"Saint-Romain (MÉ), Quebec","706"
"Saint-Isidore-de-Clifton (MÉ), Quebec","670"
"Bedford (CT), Quebec","705"
"Kuujjuarapik (VN), Quebec","734"
"Saint-Jacques-de-Leeds (MÉ), Quebec","691"
"Poularies (MÉ), Quebec","688"
"Colombier (MÉ), Quebec","672"
"Hatley (MÉ), Quebec","708"
"Saint-Ignace-de-Stanbridge (MÉ), Quebec","718"
"Bonne-Espérance (MÉ), Quebec","651"
"Laverlochère (MÉ), Quebec","645"
"Saint-Magloire (MÉ), Quebec","638"
"Saint-Étienne-de-Bolton (MÉ), Quebec","787"
"Saint-Thomas-Didyme (MÉ), Quebec","669"
"Saint-Herménégilde (MÉ), Quebec","736"
"Sainte-Louise (PE), Quebec","683"
"Cloridorme (CT), Quebec","617"
"Notre-Dame-de-Stanbridge (MÉ), Quebec","673"
"Duparquet (V), Quebec","711"
"Saint-Just-de-Bretenières (MÉ), Quebec","656"
"Fortierville (MÉ), Quebec","656"
"Les Bergeronnes (MÉ), Quebec","642"
"Bowman (MÉ), Quebec","661"
"Saint-Sébastien (MÉ), Quebec","665"
"Saint-André (MÉ), Quebec","692"
"Gesgapegiag (IRI), Quebec","685"
"Saint-Didace (PE), Quebec","683"
"Saint-Ludger-de-Milot (MÉ), Quebec","619"
"Murdochville (V), Quebec","605"
"Notre-Dame-de-la-Paix (MÉ), Quebec","688"
"Matapédia (MÉ), Quebec","609"
"Saint-François-d'Assise (MÉ), Quebec","634"
"Saint-Mathieu-de-Rioux (PE), Quebec","671"
"Portneuf-sur-Mer (MÉ), Quebec","605"
"Saint-Irénée (PE), Quebec","670"
"Lac-Delage (V), Quebec","717"
"Blue Sea (MÉ), Quebec","670"
"La Bostonnais (MÉ), Quebec","601"
"Akulivik (VN), Quebec","669"
"Lawrenceville (VL), Quebec","645"
"Petit-Saguenay (MÉ), Quebec","611"
"Montcerf-Lytton (MÉ), Quebec","630"
"North Hatley (VL), Quebec","675"
"Bolton-Ouest (MÉ), Quebec","666"
"La Visitation-de-l'Île-Dupas (MÉ), Quebec","641"
"L'Île-du-Grand-Calumet (MÉ), Quebec","635"
